,Brand,Result
581,Samsung, s s mb pioneered
582,Samsung, size big absolutely reeeeeally
583,Samsung, s mini imei a
584,Samsung, phone call use nokia
585,Samsung, phone call use nokia
586,Samsung, gran  camera im
587,Samsung, stoled ihad new happy
588,Nokia, excellent ver ad en
589,Samsung, love newborn bold baby
590,Samsung, unlock locked code unlocked
591,Nokia, workingi addit trashed conditionit
592,Samsung, unlock locked code unlocked
593,Samsung, stoled ihad new happy
594,Samsung, like thats espect yes
595,Samsung, phone call use nokia
596,Samsung, scratch condition scratched dent
597,Samsung, service client surely net
598,Samsung, box headphone original came
599,Apple, love sonand jut movil
600,Samsung, great lot amazing easy
601,Samsung, s mini imei a
602,Samsung, price sorry kid great
603,Samsung, phone call use nokia
604,Samsung, phone call use nokia
605,Samsung, phone call use nokia
606,Samsung, s mini imei a
607,Samsung, samsung warranty repair scracthes
608,Apple, good vey wanted hold
609,Samsung, loved liked exceeded wet
610,Apple, great friend  
611,Samsung, phone call use nokia
612,Samsung, delivery product arrived apreciated
613,Samsung, phone call use nokia
614,Samsung, phone call use nokia
615,Samsung, nice semismart evry a
616,Samsung, phone call use nokia
617,Samsung, lte reliableavailable conn g
618,Samsung, phone call use nokia
619,Samsung, box headphone original came
620,Samsung, camera front solution picture
621,Samsung, gps map navigation 
622,Samsung, cell recomed powerfull ago
623,Samsung, service cencillo nicer described
624,Samsung, truely neat amazing incredible
625,Samsung, phone call use nokia
626,Samsung, unlocked alows freedom supposed
627,Samsung, phone call use nokia
628,Nokia, good one  
629,Samsung, delivery product arrived apreciated
630,Samsung, s mini imei a
631,Samsung, condition thank discription perfect
632,Samsung, camera front solution picture
633,Samsung, phone call use nokia
634,Samsung, iphone til thousand nonmarket
635,Samsung, displayless displaying lour goodpoor
636,Samsung, dropped drop mths discounted
637,Samsung, samsung galaxy satisfying smaller
638,Samsung, condition thank discription perfect
639,Samsung, condition ordering thank listed
640,Samsung, case protector stood defender
641,Samsung, great evening nonsmartphone fried
642,Nokia, great evening nonsmartphone fried
643,Samsung, phone call use nokia
644,Samsung, product excellent seller price
645,Samsung, phone call use nokia
646,Samsung, phone call use nokia
647,Samsung, white rebooted weeks turn
648,Samsung, phone call use nokia
649,Samsung, service client surely net
650,Samsung, camera iphoneaidcom rare front
651,Samsung, worried fly conditionit gs
652,Samsung, phone call use nokia
653,Samsung, son christmas gift clam
654,Samsung, shape box accessory appreciate
655,Nokia, excellent ver ad en
656,Samsung, phone call use nokia
657,Samsung, phone call use nokia
658,Samsung, service client surely net
659,Samsung, workingi addit trashed conditionit
660,Samsung, great evening nonsmartphone fried
661,Samsung, battery life hr lasted
662,Samsung, samsung warranty repair scracthes
663,Samsung, expected expectation promised everithing
664,Samsung, like thats espect yes
665,Samsung, love light expected 
666,Samsung, phone call use nokia
667,Samsung, texting hold inspire wound
668,Nokia, like thats espect yes
669,Samsung, camera front solution picture
670,Samsung, phone call use nokia
671,Samsung, phone call use nokia
672,Samsung, phone call use nokia
673,Samsung, s s mb pioneered
674,Apple, great evening nonsmartphone fried
675,Samsung, phone call use nokia
676,Samsung, camera front solution picture
677,Samsung, phone call use nokia
678,Samsung, charge charged charging charger
